City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Albany,100,US,1610986325,75,42.6001,-73.9662,37.0,7.43
1,Tuatapere,68,NZ,1610986558,81,-46.1333,167.6833,50.0,4.0
2,Hobart,75,AU,1610986472,46,-42.8794,147.3294,50.0,12.66
3,Adolfo López Mateos,0,MX,1610986559,28,28.4667,-107.3,48.99,1.01
4,Katsuura,2,JP,1610986458,48,35.1333,140.3,46.0,8.99
5,Mount Isa,33,AU,1610986561,31,-20.7333,139.5,77.0,8.93
6,Río Gallegos,100,AR,1610986561,50,-51.6226,-69.2181,58.64,21.27
7,Bengkulu,99,ID,1610986561,88,-3.8004,102.2655,76.06,6.71
8,Cayenne,75,GF,1610986349,62,4.9333,-52.3333,86.0,14.97
9,Jamestown,90,US,1610986562,86,42.097,-79.2353,32.0,8.05
10,Malokakhovka,98,UA,1610986563,93,46.7814,33.4479,13.95,6.67
11,Shīeli,98,KZ,1610986563,77,44.1667,66.75,37.38,7.85
12,São Félix do Xingu,96,BR,1610986563,80,-6.6447,-51.995,78.49,2.51
13,Thompson,90,CA,1610986512,84,55.7435,-97.8558,-9.4,2.89
14,Tasiilaq,84,GL,1610986564,50,65.6145,-37.6368,23.0,1.14
15,Rikitea,94,PF,1610986565,73,-23.1203,-134.9692,78.22,11.83
16,New Norfolk,67,AU,1610986566,55,-42.7826,147.0587,50.0,3.0
17,Ponta Delgada,75,PT,1610986566,88,37.7333,-25.6667,64.99,18.41
18,Khatanga,0,RU,1610986566,81,71.9667,102.5,-29.6,15.12
19,Longyearbyen,20,SJ,1610986310,67,78.2186,15.6401,17.6,26.46
20,Husavik,90,IS,1610986567,86,66.0449,-17.3389,33.8,20.71
21,Kaseda-shirakame,20,JP,1610986567,46,31.4167,130.3167,50.0,14.97
22,Meulaboh,100,ID,1610986399,79,4.1363,96.1285,79.07,3.11
23,Lompoc,0,US,1610986453,70,34.6391,-120.4579,55.99,4.61
24,Kangaatsiaq,88,GL,1610986569,88,68.3065,-53.4641,11.61,10.07
25,Torbay,40,CA,1610986569,75,47.6666,-52.7314,43.0,21.85
26,San Cristobal,40,VE,1610986570,65,7.7669,-72.225,82.4,11.5
27,Mutoko,100,ZW,1610986570,97,-17.397,32.2268,69.03,2.75
28,Castro,100,BR,1610986570,93,-24.7911,-50.0119,68.9,5.06
29,Richards Bay,41,ZA,1610986505,72,-28.783,32.0377,76.3,7.63
30,Acarí,59,PE,1610986571,46,-15.4311,-74.6158,82.65,9.93
31,Bozoum,33,CF,1610986572,12,6.3193,16.3799,92.03,7.0
